userId,eventId,time,planetNo,attemptNo
09ee0a844a2345f393f2502ef4514d5b,5,3823,1,0
09ee0a844a2345f393f2502ef4514d5b,5,126110,1,0
09ee0a844a2345f393f2502ef4514d5b,6,2258,1,0
09ee0a844a2345f393f2502ef4514d5b,5,4673,2,0
09ee0a844a2345f393f2502ef4514d5b,6,9243,2,0
09ee0a844a2345f393f2502ef4514d5b,5,40033,3,0
09ee0a844a2345f393f2502ef4514d5b,5,182540,3,0
09ee0a844a2345f393f2502ef4514d5b,6,4164,3,0
